"","year","ctry","milt_expend","gni_growth"
"1",1913,"USA",NA,NA
"2",1914,"USA",NA,NA
"3",1915,"USA",NA,NA
"4",1916,"USA",NA,NA
"5",1917,"USA",NA,NA
"6",1918,"USA",NA,NA
"7",1919,"USA",NA,NA
"8",1920,"USA",NA,NA
"9",1921,"USA",NA,NA
"10",1922,"USA",NA,NA
"11",1923,"USA",NA,NA
"12",1924,"USA",NA,NA
"13",1925,"USA",NA,NA
"14",1926,"USA",NA,NA
"15",1927,"USA",NA,NA
"16",1928,"USA",NA,NA
"17",1929,"USA",NA,NA
"18",1930,"USA",NA,NA
"19",1931,"USA",NA,NA
"20",1932,"USA",NA,NA
"21",1933,"USA",NA,NA
"22",1934,"USA",NA,NA
"23",1935,"USA",NA,NA
"24",1936,"USA",NA,NA
"25",1937,"USA",NA,NA
"26",1938,"USA",NA,NA
"27",1939,"USA",NA,NA
"28",1940,"USA",NA,NA
"29",1941,"USA",NA,NA
"30",1942,"USA",NA,NA
"31",1943,"USA",NA,NA
"32",1944,"USA",NA,NA
"33",1945,"USA",NA,NA
"34",1946,"USA",NA,NA
"35",1947,"USA",NA,NA
"36",1948,"USA",NA,NA
"37",1949,"USA",130993.678,NA
"38",1950,"USA",140780.089,NA
"39",1951,"USA",301216.027,NA
"40",1952,"USA",424310.848,NA
"41",1953,"USA",436863.269,NA
"42",1954,"USA",376932.95,NA
"43",1955,"USA",356800.625,NA
"44",1956,"USA",361468.993,NA
"45",1957,"USA",371783.141,NA
"46",1958,"USA",369577.57,NA
"47",1959,"USA",372166.144,NA
"48",1960,"USA",363006.352,NA
"49",1961,"USA",378360.764,NA
"50",1962,"USA",409976.353,NA
"51",1963,"USA",404393.287,NA
"52",1964,"USA",390910.811,NA
"53",1965,"USA",389105.114,NA
"54",1966,"USA",463423.282,NA
"55",1967,"USA",535140.96,NA
"56",1968,"USA",549445.857,NA
"57",1969,"USA",525813.851,NA
"58",1970,"USA",486804.406,NA
"59",1971,"USA",437787.43,2.054675367
"60",1972,"USA",439498.49,4.159687279
"61",1973,"USA",417593.227,4.867742589
"62",1974,"USA",412318.65,-1.31230273
"63",1975,"USA",388785.822,-1.40286727
"64",1976,"USA",378559.263,4.520175831
"65",1977,"USA",394216.831,3.634378547
"66",1978,"USA",396408.188,4.389787576
"67",1979,"USA",398769.405,2.342487126
"68",1980,"USA",397024.847,-1.2227549
"69",1981,"USA",442450.071,1.425633907
"70",1982,"USA",524073.909,-2.77662058
"71",1983,"USA",507761.921,3.606439244
"72",1984,"USA",527380.522,6.205766006
"73",1985,"USA",568002.925,2.99854307
"74",1986,"USA",607188.269,2.341037908
"75",1987,"USA",599976.129,2.529499941
"76",1988,"USA",586731.353,3.336926668
"77",1989,"USA",580704.682,2.713404027
"78",1990,"USA",554741.909,0.916143331
"79",1991,"USA",487220.545,-1.46584286
"80",1992,"USA",514821.507,2.091940783
"81",1993,"USA",487764.084,1.389900266
