country,year,text,context
Russia,2008,"citizens of russia,deputies and members of the federation council,i will begin this address with an evaluation of events so far this year.",PAFA
Russia,2008,our country held elections to its key institutions of power this year.,PAFA
Russia,2008,a new government was formed following the presidential election and the parliamentary parties began full scale work in the new state duma.implementation began of new plans for long-term economic and social development.,PAFA
Russia,2008,work is underway on factories and roads.,PAFA
Russia,2008,the armed forces are being modernised and re-armed.,PAFA
Russia,2008,we are spreading and developing new technology.,PAFA
Russia,2008,"we are establishing educational, scientific and medical centres.",PAFA
Russia,2008,our country’s sportspeople have achieved some memorable victories.,PAFA
Russia,2008,"but for our citizens, for all of us, this year has not just been a time of new hopes and achievements.",PAFA
Russia,2008,"events of great significance for each one of us in this country, i am sure, have taken place, events that have also been a serious test for all of russia.i am talking about the barbaric attack on south ossetia, and also about the growing global financial crisis.",PAFA
Russia,2008,"these two very different problems have some common features and, one could say, have a common cause.",PAFA
Russia,2008,"the georgian army’s attack on russian peacekeepers resulted in tragedy for many thousands of people, for entire peoples.",PAFA
Russia,2008,this provocation led to a sharp increase in tension throughout the entire caucasus region.,PAFA
Russia,2008,the conflict in the caucasus was used as a pretext for nato naval vessels to enter the black sea and then to speed up the imposition of an american missile defence system on europe.,PAFA
Russia,2008,this situation forces russia to take measures in response (which i will talk about today).,PAFA
Russia,2008,"thus, tbilisi’s adventure in its own backyard has had repercussions that go far beyond the region, have increased tension across europe and throughout the whole world, cast doubts on the effectiveness of the international security institutions and destabilised the foundations of the world order.",PAFA
Russia,2008,the global financial crisis also began as a ‘local crisis’ on the u.s. domestic market.,PAFA
Russia,2008,"as the biggest developed economy, tightly linked to the markets in all the developed countries, when the u.s. economy began to slide it pulled financial markets all around the globe with it in its fall.",PAFA
Russia,2008,this crisis has now become global in scale.,PAFA
Russia,2008,this tendency of local problems to take on a global character has become a typical feature of our interdependent world.,PAFA
Russia,2008,we have long since made our choice in favour of far-reaching integration into the world economy.,PAFA
Russia,2008,we are aware of our responsibilities.,PAFA
Russia,2008,"having gained some considerable advantages during the period of active global economic growth, russia is ready now to stand together with other countries to address the difficulties that have slowed this growth down.",PAFA
Russia,2008,"but we need to put in place mechanisms that can block the mistaken, selfish and at times simply dangerous decisions made by some members of the international community.",PAFA
Russia,2008,it makes no sense to hide the fact that the tragedy of tskhinvali was made possible in part by the conceit of an american administration that closed its ears to criticism and preferred the road of unilateral decisions.i think that this idea that emerged in the united states after the soviet union collapsed that its view is the only indisputably correct view led the u.s. authorities also into making serious economic miscalculations.,PAFA
Russia,2008,they let this currency bubble grow in the interests of stimulating domestic growth but did not bother coordinating their decisions with the other players on the global markets and neglected even the most basic sense of measure.,PAFA
Russia,2008,they did not listen to the numerous warnings from their partners (including from us).,PAFA
Russia,2008,"as a result they have caused damage to themselves and to others.but, as the saying goes, every cloud has a silver lining.",PAFA
Russia,2008,the mistakes and crises of 2008 are a lesson to all responsible nations that it is time for action.,PAFA
Russia,2008,we need to radically reform the political and economic systems.,PAFA
Russia,2008,"russia, in any event, will insist on this.",PAFA
Russia,2008,"we will work together on this with the united states, the european union, the bric countries and all parties with an interest in reform.",PAFA
Russia,2008,we will do everything possible to make the world a fairer and safer place.i am sure that we can achieve this because our country is economically and politically strong.,PAFA
Russia,2008,the military operations in august and the worrying news from the world markets have clearly demonstrated the maturity of our civil society and the political unity of our country.,PAFA
Russia,2008,"it was pleasing to see (and i say this with sincere gratitude) that our country’s big political parties acted in a spirit of solidarity during the events in the south caucasus, and that the anti-crisis measures aimed at stabilising the economy have also been met with understanding.i think it could hardly be otherwise when we are talking about a people with more than a thousand years of history, a people that have developed and brought civilisation to a vast territory, created a unique culture and built up powerful economic and military potential, a people who act on the solid basis of values and ideals that have taken shape over the centuries and stood the test of time.i would like to say a few words separately about our values, our society’s ideals and moral principles.",PAFA
Russia,2008,i have no intention of giving moral lectures or going off into abstract reflection.,PAFA
Russia,2008,the job of president of russia is very concrete and practical.,PAFA
Russia,2008,"but i say quite frankly, based on my own experience, that it is far from easy to make decisions that will affect the lives (in the most direct sense), welfare and health of thousands of citizens, and the reputation and destiny of a great people.",PAFA
Russia,2008,"when i make these decisions i need to have it firmly in my head that there are things that cannot be given up, things for which we need to fight until victory, things dear to you, dear to me, dear to us all, things without which it is impossible to imagine our country.",PAFA
Russia,2008,our people have a rich spiritual and moral heritage.,PAFA
Russia,2008,"we have much to love and be proud of, much to stand up for and defend, and much to aspire towards.",PAFA
Russia,2008,this is why we will stand firm in the caucasus.,PAFA
