country,year,word,n.x,total.x,idf.x,tf_idf.x,context.x,tf.x,n.y,total.y,idf.y,tf_idf.y,context.y,tf.y,sentiment
CHN,2007,development,226,10438,-4.398555936625092,-0.005315532298167886,SOTU,0.0012084721383005459,30,1185,-4.398555936625092,-7.056016325001618e-4,UNGD,1.6041665552662113e-4,economic
CHN,2012,development,217,11314,-4.398555936625092,-0.005103851808417837,SOTU,0.0011603471416425596,36,1505,-4.398555936625092,-8.467219590001942e-4,UNGD,1.9249998663194536e-4,economic
CHN,2017,development,161,12370,-4.398555936625092,-0.0037867287610842022,SOTU,8.609027179928669e-4,28,1119,-4.398555936625092,-6.585615236668177e-4,UNGD,1.497222118248464e-4,economic
CHN,2002,development,155,9787,-4.398555936625092,-0.0036456084345841693,SOTU,8.288193868875426e-4,26,851,-4.398555936625092,-6.115214148334736e-4,UNGD,1.3902776812307167e-4,economic
PHL,1972,development,152,15414,-4.398555936625092,-0.0012196301278350732,SOTU,2.7727966755627226e-4,10,1920,-4.398555936625092,-8.023882419967587e-5,UNGD,1.8242083391860016e-5,economic
CHN,1987,development,129,9809,-4.398555936625092,-0.003034087019750696,SOTU,6.897916187644709e-4,13,2113,-4.398555936625092,-3.057607074167368e-4,UNGD,6.951388406153583e-5,economic
CHN,1992,economic,124,8458,-4.422848629194137,-0.002932594151316074,SOTU,6.630555095100341e-4,23,1554,-4.422848629194137,-5.439489151634655e-4,UNGD,1.2298610257040955e-4,economic
CHN,1997,development,120,9678,-4.398555936625092,-0.002822406530000647,SOTU,6.416666221064845e-4,11,1091,-4.398555936625092,-2.587205985833927e-4,UNGD,5.881944035976109e-5,economic
CHN,1977,revolution,119,9606,-3.120895416507997,-0.001985886299692811,SOTU,6.363194002555972e-4,5,2880,-3.120895416507997,-8.344060082742903e-5,UNGD,2.6736109254436857e-5,moral
CHN,1987,economic,116,9809,-4.422848629194137,-0.002743394528650521,SOTU,6.202777347029351e-4,16,2113,-4.422848629194137,-3.7839924533110636e-4,UNGD,8.555554961419795e-5,economic
PHL,1971,development,114,13494,-4.398555936625092,-9.14722595876305e-4,SOTU,2.079597506672042e-4,21,2390,-4.398555936625092,-1.6850153081931935e-4,UNGD,3.830837512290604e-5,economic
CHN,1992,development,110,8458,-4.398555936625092,-0.0025872059858339266,SOTU,5.881944035976108e-4,29,1554,-4.398555936625092,-6.820815780834898e-4,UNGD,1.5506943367573378e-4,economic
PHL,1970,development,110,12668,-4.398555936625092,-8.826270661964347e-4,SOTU,2.006629173104602e-4,10,773,-4.398555936625092,-8.023882419967587e-5,UNGD,1.8242083391860016e-5,economic
PHL,1979,energy,104,6298,-3.8322580369592836,-7.27047055169105e-4,SOTU,1.897176672753442e-4,1,1096,-3.8322580369592836,-6.9908370689337025e-6,UNGD,1.8242083391860018e-6,economic
GHA,2015,road,100,8797,-3.6592789843376456,-0.0032869645138534635,SOTU,8.982546911351244e-4,3,1131,-3.6592789843376456,-9.860893541560392e-5,UNGD,2.6947640734053733e-5,economic
USA,1981,energy,92,16559,-3.8322580369592836,-0.001055573071741987,SOTU,2.754441536978378e-4,5,1661,-3.8322580369592836,-5.736810172510798e-5,UNGD,1.4969790961839008e-5,economic
CHN,1997,economic,90,9678,-4.422848629194137,-0.0021284957549874734,SOTU,4.8124996657986346e-4,13,1091,-4.422848629194137,-3.074493868315239e-4,UNGD,6.951388406153583e-5,economic
CHN,1997,socialism,86,9678,-1.845826690498331,-8.488238538650064e-4,SOTU,4.5986107917631394e-4,1,1091,-1.845826690498331,-9.870044812383796e-6,UNGD,5.347221850887372e-6,moral
CHN,1982,economic,85,9245,-4.422848629194137,-0.0020102459908215024,SOTU,4.5451385732542656e-4,21,1782,-4.422848629194137,-4.966490094970771e-4,UNGD,1.1229165886863481e-4,economic
USA,1981,economic,84,16559,-4.422848629194137,-0.001112313206506193,SOTU,2.5149248815889533e-4,23,1661,-4.422848629194137,-3.045619494005053e-4,UNGD,6.886103842445945e-5,economic
PHL,1976,development,80,6688,-4.398555936625092,-6.41910593597407e-4,SOTU,1.4593666713488013e-4,6,1719,-4.398555936625092,-4.8143294519805526e-5,UNGD,1.094525003511601e-5,economic
PHL,1977,development,78,4722,-4.398555936625092,-6.258628287574719e-4,SOTU,1.4228825045650814e-4,6,938,-4.398555936625092,-4.8143294519805526e-5,UNGD,1.094525003511601e-5,economic
CHN,1987,economy,76,9809,-4.148411783492376,-0.0016858683382728506,SOTU,4.0638886066744024e-4,4,2113,-4.148411783492376,-8.872991254067635e-5,UNGD,2.1388887403549487e-5,economic
