"","x"
"1","This nation stands, tested by adversity and deriving strength from it, sum­moning a fresh will from the continuing challenges that are the historical legacy of all struggling nations."
"2","Yes, this nation not only stands; it will also prevail."
"3","I know that some of you would be satisfied by an admission of failure, a confession of weakness, a contrite promise to do better, but such a posture will neither lift the cloud from our minds nor carry our nation forward. We have not been mandated by our people to inaugurate the age of despair."
"4","Our nation has passed through difficult times—and prevailed."
"5","Honesty permits neither pessimism nor complacency."
"6","We have blind partisans from both sides of the fence. There is total darkness for one side and dazzling brightness for the other. Clinging to either of these absolutes may reveal our temperament, but it will neither define our condition nor secure our future as a nation."
"7","Our continuing survival, no less than our hopes for a better life, will depend on how seriously and how honestly we make the effort to understand the times we live in. We have just been through a most difficult year, and this is true for the rest of the world as it is with us. Only the most insular among us will fail to understand that many of the major decisions that affect our daily lives are made not in our own country but in the distant centers of the world."
"8","The monetary crisis last year, as a consequence of which the American dollar was to all intents and purposes, devalued, created a situation in which, as someone observed, the “poor nations of the world are compelled to maintain the high living standards of the rich.” We were not exempted from the effects of this radical monetary event."
"9","Diplomatic crisis—whether it be the admission of the People’s Republic of China to the United Nations, the threat of world war, or the actual outbreak of war between India and Pakistan—affected the economic environments of all nations, but most of all, the poor."
"10","On the domestic scene, the reestablishment of the Communist Party of the Philippines, with a Jacobin zeal for domination and conquest, the creation of Communist front organizations, the Maoist uprisings, the recriminations of the 1971 campaign, the corruption of our police agencies, the rise in the consump­tion of drugs and pornography, not to say the bloody conflicts between Christians and Muslims in Mindanao—all these struck us with simultaneous force."
"11","We had to survive all these crises or not at all. And for this reason, we took the limited options open to us as a small and developing nation."
"12","I need not mention at length anymore the natural calamities that beset the country last December and early this year."
"13","But one thing is undeniable: 1971 saddled us with crises—not singly but in battalia."
"14","We were not given elegant choices. We just had to survive, and there was only one way: to impose restrictions on ourselves."
"15","I invite you, therefore, to consider the good along with the bad, to put our successes side by side with our failures—in sum, to clarify in our minds the magnitude of the challenge to our national existence."
"16","Honesty demands that we consider the undeniable gains in the economy along with the throwbacks to our stagnant past. Faced with adversity, we shifted our economic emphasis from consumption to production, from imports to exports. We floated the peso to measure our real worth, for we paid heavily for the economic proclivities of an irresponsible and possibly naive past. All the tough decisions of economic development and social progress were made with the full knowledge of their consequences, some of which are, indeed, punish­ing. But these decisions had to be made. The alternative was between a protracted life of dubious comfort and a long life of a secure national future."
"17","It is an ancient propensity of men to look for scapegoats in adversity. This has been the easy foundation of most political criticism. But political responsi­bility obliges us to look for causes. The search for scapegoats is always a futile exercise."
"18","Let us honestly understand one fundamental thing about our national con­dition. And that is: through all our policies and actuations in the past six years, we have been solving the problems spawned by past errors and misjudgments; we are just beginning to tackle those generated by the present—and we have yet to anticipate those that will face us in the future. Leadership now is a three-headed Janus looking back, front, and forward through the entire dimension of time."
"19","Will I, then, apologize that in facing the crisis born out of the past, this leadership must yet meet the pressing problems of the present? Shall we regret vainly that no nation is endowed with the capacity for solving all important problems simultaneously? Shall we lament the fact that the fate of men and nations is to solve their problems according to an order of precedence?"
"20","We have long passed the age of innocence. We are much wiser now, and we know that all our dreams have their responsibilities, all our aspirations their in­evitable price. To understand this is to understand what we can do so that we shall not drain energies lamenting those that we cannot do."
"21","We cannot achieve progress at the pace and of the nature that we wish without counting the human and material cost."
"22","We cannot have the peace and order that are ideally desired without per­sonally involving ourselves in attaining it."
"23","We cannot, as the saying goes, have guns and butter in equal and great amounts."
"24","Every goal we choose involves a hard choice—a sacrifice, on the one hand, and an aspiration, on the other. To believe that there is a soft choice is to live, as some of us do now, in a fool’s paradise."
"25","No one minimizes the great potential for crisis in such problem areas as the Middle East where outlook for peace has dimmed in the past year; or in Indo­china where the war has decelerated without opening new vistas for permanent settlement. In Africa, south of the Sahara, characteristic tensions incident to the problems of nation-building continue to make the region of the world highly volatile and unpredictable, characteristics which are emphasized by the unresolved problem of racialism and violation of human rights. The recent eruption of violence between India and Pakistan is an unfortunate reminder of the still precarious balance which obtains between the forces of order and disorder."
"26","In the changing context of world affairs, however, it can be said that the range of available means for the management of world tensions has increased in the past year. The tacit agreement to the status quo in Europe has resulted in fruitful initiatives the consequences of which are already visible in the growing unity of the Common Market countries, in the removal of the causes of friction in Berlin, and in the rapprochement between the Socialist countries of Eastern Europe and the rest of the continent."
"27","Thus, in Europe there is a new stability which will contribute in highly significant ways to the resolution of one of the world’s most difficult and most persistent problems, namely, the limitation of the weapons of war."
"28","The Philippines, in recognition of its compelling national interests and in response to the inevitable pressures or new world developments, necessarily has to modify its outlook and revise its policies in ways which take a more precise account of its interests in a radically altered world environment. Thus in the last 12 months we have begun a process of change unprecedented in our short history as a free country. Flexibility has been the touchstone of the emerg­ing foreign policy of the Philippines; the national interest its unchanging guide; and a hard and independent assessment of new international realities its new hallmark."
"29","Our need is to gain time. It is for this reason that I would prefer new conver­sations with the United States leading to the formulation of programs in anti­cipation of the consequences of American phaseout from Southeast Asia. A practical plan which can be put into effect in the interim period should diminish anxieties not only in the Philippines but throughout the region. At the same time it should place us in an unassailable position of strength, militarily, socially, and economically, in dealing with the expected upsurge of dissidence."
"30","The problem of subversion will, in the future, assume regional dimensions. Therefore, it is important that the steps being taken to strengthen economic collaboration in the region be supplemented by cooperation in this limited military sense. We realize that a regional military alliance is not feasible, nor is it, with its inevitable overtones of the diminishing Cold War, a desirable one. However, simpler forms of military cooperation, perhaps in exchanges of views and information, may be useful in the circumstances."
"31","It is for this reason that I have urged the convening of a meeting of heads of state in order to study more thoroughly the whole range of alternative open to the region to insure security and to intensify economic and social cooperation. No greater obligation devolves upon the countries of Southeast Asia. We have already endorsed the plan for the neutralization of Southeast Asia in principle and shall study, in concert with fellow members of the ASEAN, various implementation plans to ensure the achievement of the objectives of the decla­ration of foreign ministers."
"32","The opening of relations with Yugoslavia and Romania should be regarded therefore only as a first step in a worldwide rapprochement with Socialist countries. Because of certain difficulties, many of a technical diplomatic character, it is not possible at this time to establish relations with the Soviet Union. However, I hope that before my term as President is over, we shall have overcome those difficulties and that the long-deferred mutual relations between the Philippines and the Soviet Union shall have been set up on a firm basis."
"33","With that great power, we will undoubtedly have official and unofficial contacts with its representatives in the United Nations. In recognition of the right of its more than 900 million people to be represented in the world organi­zation, we supported their admission into the United Nations. We feel that their presence there will be beneficial—and indeed necessary—to the solution of numerous world problems. At the same time, we hope that its membership in the world body will encourage Asia’s lone nuclear power to use its expanding influence for constructive purposes which will benefit Asia and the rest of the world."
"34","The question of bilateral association with the People’s Republic of China at this time is complicated by the unclear nature of its relations with the Nationalist regime in Taipei. As far as we are concerned, we welcome all forms of inter­course with the two governments. This has been made difficult, however, by the conditions relating to these internal differences between the two which the two governments seek to impose on the world at large. Therefore, an early settle­ment of the Peking-Taipei question, on their own free choice, should make it easier for us and for many other nations to realize the objective of multiple alignments in this part of the world."
"35","It is our hope that we shall always be able to depend on such bipartisan cooperation to resolve outstanding issues of foreign policy. One such question is the recognition of the new state of Bangladesh, which is under study by the Foreign Policy Council. This question has to be examined not only in the light of our libertarian history but also of our present alliance."
"36","Peace and order, therefore, leads the agenda of government through the remainder of my administration. I am determined that the challenge to public authority posed by criminal and lawless elements will be met this year and the next with all the power and resources of government."
"37","At the moment, there are two elements in the peace and order problem which constitute the real menace to government and society. These are internal subversion and the rising tide of criminality in our midst. A third element, external aggression, poses no immediate threat; as a relatively remote problem, therefore, it can be regarded with no sharp sense of urgency. I am certain that we can spread over a period of time our efforts to deal adequately with the possibility of external aggression by means of defense preparations that I shall report upon shortly."
"38","On the other hand, internal subversion and rising crime, both of them grave and existing perils, call for swift and uncompromising action."
"39","Over the years, simple criminality, violent forms of dissent, and active in­surgency have combined to produce an increasing threat to authority. I am determined that this threat will be met with all the resources available to govern­ment. But for this purpose, I ask that Congress lend its full cooperation. The time to meet the challenge of lawlessness, in the form of ordinary crimes, violent upheavals, private armies, and crime syndicates, is now: beyond this year may be too late. The centers of public authority, the three branches of government, have a joint responsibility to undertake at once a powerful and relentless drive against the criminal elements which have eroded public faith in the ability of government to ensure order and stability in every community around the nation."
"40","The increasing frequency of criminal activity poses a threat not only to duly constituted authority, but ultimately to the entire social order. This is why it is my unswerving aim that the priorities in the agenda of 1972 shall be led by a program against criminality and violence. This year, and through the next, we will permit no compromise with crime and vice; I want all the resources of government to be organized and managed so as to wage full and unremitting war against those who, for one reason or another, conceive of government as an object to be scorned, abused, and terrorized."
"41","Persons socially dangerous should be placed under confinement even before they have actually struck their victim, if in the judgment of the court, after proper showing and trial the subject is socially dangerous. His confine­ment under the circumstances is not a punishment but a precautionary and therapeutic necessity. The subject shall be released by the court upon satis­factory evidence furnished by psychiatrist or physician that he is no longer socially dangerous or dreadful."
"42","I urge Congress to cooperate in making this reform in our penal system possible."
"43","The situation in the Philippines, however, has been aggravated by conditions of insurgency in some parts of the country, a fact which has given to the peace and order condition a unique character. No less than the Supreme Court has recognized the existence of a rebellion in the country, when it said in its historic decision concerning my suspension of the privilege of the writ of habeas corpus: “We entertain … no doubts about the existence of a sizeable group of men who have publicly risen in arms to overthrow the government and have thus been and still are engaged in rebellion against the government of the Philippines.”"
"44","Apart from its normal share of ordinary crime and lawlessness, therefore, the Philippines the past few years has had to face the added problem of putting down a publicly announced challenge to order and public authority. Compared to the limited means available to our police agencies, the threat of criminal elements to society is far from puny and negligible."
"45","It is with this in mind, and fully conscious of my responsibility for the safety of our citizens and the orderliness of society, that I suspended the privilege of the writ of habeas corpus when an intolerable increase in insurgent activity came to the knowledge of our intelligence authorities. This decision was fully warranted by the circumstances; after asking itself whether “public safety requires the suspension of the privilege of the writ of habeas corpus,” the Supreme Court in the same decision declared that it was “not prepared to hold that the Executive had acted arbitrarily or gravely abused his discretion when he then concluded that public safety and national security required the suspension of the privilege of the writ. . . .”"
"46","The Supreme Court has taken note of the existence of a state of rebellion in the country, and has upheld the suspension of the privilege of the writ of habeas corpus which I proclaimed last year. It acknowledged the validity of the view I took that lawless elements engaged in an armed insurrection and rebellion “have created a state of lawlessness and disorder affecting public safety and the security of the state.” These lawless elements, consisting of Communists of the Maoist faction and members of the New People’s Army, had been engaged in terrorism and violent acts, such as assassinations and kidnappings, thus endangering public safety and threatening national security. It is significant that the Supreme Court, after assessing all the evidence, declared that the New People’s Army is per se proof of the existence of a rebellion, and that consequently the President of the Philippines “had reason to feel that the situation was critical” and that therefore, “he had substantial grounds to entertain such belief.”"
"47","As you will recall, I immediately lifted the suspension of the privilege of the writ of habeas corpus after being satisfied that the Communist threat to our national security had sufficiently diminished."
"48","The contributing factors include inefficient, corrupt, and in many cases even criminal, policemen; certain politicians who have placed personal power and ambition above the public service; failures of government and of society itself to assure the safety of witnesses; and serious inadequacies in the resources of government."
"49","I am especially anxious about persistent reports that many members of our police organizations not only are corrupt but are members of criminal syndicates, and as such are responsible for any number of crimes which, for obvious reasons, have remained unsolved. This situation will not be tolerated any longer. Appropriate steps are now being taken to eradicate criminal elements from within our police forces, and I hope that both the citizenry and the proper authorities will give their support and make possible this cleansing process in our police organizations."
"50","It has come to our knowledge that many members of our police forces are linked to security agencies, reported to have a membership of around 27,000, and that many of the unsolved crimes have been committed by individuals protected by this alliance. It is my aim that the licensing of security agencies shall be immediately reviewed and that henceforth stricter measures be adopted for such licensing."
"51","The rise of smuggling, which we had all but stamped out some years ago, has also contributed to the peace and order problem."
"52","Drug addiction and an increasing traffic in pornographic material have likewise aggravated the peace and order problem. Drugs and pornography are especially deleterious because they constitute a threat to the fabric of morality which is indispensable to the preservation of public order. They are perils against which we must be particularly watchful because they work insidiously, undermining the character and spirit of our people, and producing their peculiar form of destruction without force and violence."
"53","These are the varied aspects of crime and lawlessness which imperil public order and the safety of our homes and individual lives. Set against the forces of the law, with their meager resources and the doubtful competence and integrity of some individual law enforcers, they give us reason to chastise ourselves and to reexamine our aims and resources."
"54","We must therefore modernize and professionalize the national agencies, such as the National Bureau of Investigation and the Philippine Constabulary. The local police agencies in the urban areas must have sufficient mobile units and communications equipment as well as recording systems to enable them to operate with efficiency. All of them must develop continuing programs of their own to train their staffs in up-to-date methods and facilities against crime."
"55","It is no less important in our effort to deal with crime that we develop the regional concept in crime control. All too often, there are incidents which exceed the jurisdiction or competence of local police agencies. For this problem, there are two possible solutions: either arrange an organizational tie-up between the national and local police agencies, or bring local agencies together in a consortium or a metropolitan police-type of arrangement which will, among other things, allow a sharing of resources and avoid conflicts—an all-too-common weakness."
"56","For most cases it may be preferable to have local agencies working together, without involving the national agency. The organizational require­ments for such exclusively regional tie-ups could, however, be complicated, and would in such a case perhaps call for legislative action. If police reforms attain nationwide proportions through legislative support, I foresee local communities, singly or collectively, assuming greater responsibility for their security, freeing the national police agencies for specific tasks involving national security."
"57","Since there are deficiencies in the law that created the Police Commission, the legislative program I am going to propose includes the amendment of the Police Act so as to enhance more readily the professionalization of our police forces."
"58","The drug menace, by all indications, is spreading particularly among the young. This year, we must launch a special campaign and create funds to eradicate this new menace."
"59","At the same time, I am convinced that drug addiction should be approached from the psychiatric or medical viewpoint, rather than regarded strictly as crime."
"60","Last year, 5,252 loose firearms were collected, captured or confiscated; 760 holders of loose firearms were apprehended and prosecuted; and 32,300 assorted firearms were registered."
